categoria_ruralidad_2024,cod_natujur,count_a,count_de,departamento,dinamica_2024,divipola,documento_justificativo,estado_folio,fecha_apertura_texto,fecha_radica_texto,matricula,municipio,nombre_natujur,num_anotacion,orip,pk,predios_nuevos,tiene_mas_de_un_valor,tiene_valor,tipo_predio_zona,valor,year_radica
Ciudades y aglomeraciones,843,4,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3409 DE 06-11-2012; NOTARIA QUINTA DE BOGOTA D. C.,,1972-01-27 00:00:00,2016-10-27 00:00:00,50C-1708,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,18,50C,11001-50C-001708-00018-00843-2016,0,0,0,URBANO,,2016
Ciudades y aglomeraciones,307,3,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 3885 DE 18-12-2012; NOTARIA QUINTA DE BOGOTA D. C.,,1972-01-27 00:00:00,2016-10-27 00:00:00,50C-1708,BOGOTÁ D.C.,COMPRAVENTA DERECHOS DE CUOTA,19,50C,11001-50C-001708-00019-00307-2016,0,0,0,URBANO,,2016
Ciudades y aglomeraciones,904,0,1,BOGOTÁ D.C.,0,11001,02-CERTIFICADO 1378364 DE 09-11-2016; UNIDAD ADMINISTRATIVA CATASTRO DISTRITAL DE BOGOTA D. C.,,1972-01-27 00:00:00,2016-12-14 00:00:00,50C-1708,BOGOTÁ D.C.,ACTUALIZACIÓN DE NOMENCLATURA,20,50C,11001-50C-001708-00020-00904-2016,0,0,0,URBANO,,2016
Ciudades y aglomeraciones,904,0,1,BOGOTÁ D.C.,0,11001,02-CERTIFICADO 1378364 DE 09-11-2016; CATASTRO DISTRITAL - UNIDAD ADMON DE BOGOTA D. C.,,1972-01-27 00:00:00,2017-03-21 00:00:00,50C-1708,BOGOTÁ D.C.,ACTUALIZACIÓN DE NOMENCLATURA,21,50C,11001-50C-001708-00021-00904-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,427,1,1,BOGOTÁ D.C.,0,11001,04-OFICIO 01182-S DE 13-11-2020; JUZGADO 52 DE PEQUE/AS CAUSAS Y COMPETENCIAS MULTIPLES DE BOGOTA D. C.,,1972-01-31 00:00:00,2021-04-07 00:00:00,50C-1711,BOGOTÁ D.C.,EMBARGO EJECUTIVO CON ACCIÓN PERSONAL,22,50C,11001-50C-001711-00022-00427-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,125,2,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1146 DE 03-06-2021; NOTARIA VEINTISEIS DE BOGOTA D.C.,,1972-01-27 00:00:00,2021-06-25 00:00:00,50C-1715,BOGOTÁ D.C.,COMPRAVENTA,36,50C,11001-50C-001715-00036-00125-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,219,1,2,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1146 DE 03-06-2021; NOTARIA VEINTISEIS DE BOGOTA D.C.,,1972-01-27 00:00:00,2021-06-25 00:00:00,50C-1715,BOGOTÁ D.C.,HIPOTECA ABIERTA SIN LIMITE DE CUANTIA,37,50C,11001-50C-001715-00037-00219-2021,0,0,0,URBANO,,2021
Ciudades y aglomeraciones,843,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3289 DE 12-12-2022; NOTARIA SEGUNDA DE FUSAGASUGA,,1972-01-27 00:00:00,2023-05-18 00:00:00,50C-1715,BOGOTÁ D.C.,CANCELACIÓN POR VOLUNTAD DE LAS PARTES,38,50C,11001-50C-001715-00038-00843-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 741 DE 18-04-2023; NOTARIA SEGUNDA DE FUSAGASUGA,,1972-01-27 00:00:00,2023-05-18 00:00:00,50C-1715,BOGOTÁ D.C.,ACLARACIÓN,39,50C,11001-50C-001715-00039-00901-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,212,0,1,BOGOTÁ D.C.,1,11001,04-OFICIO 5661320181 DE 30-07-2015; SECRETARIA DE MOVILIDAD DE BOGOTA D. C.,,1972-01-26 00:00:00,2015-08-21 00:00:00,50C-1724,BOGOTÁ D.C.,VALORIZACIÓN,18,50C,11001-50C-001724-00018-00212-2015,0,0,0,URBANO,,2015
